 abon 
kentang|kentang rendang
keramik
kerikil
keripik
kerupuk
ketimun
knalpot
kwetiaw
lipstik
pampers
pemutih
sejadah
selimut
setrika
speaker
stoples
tabloid
vitamin
anggur
batako
biawan
buncis
capcai
daster
disket
dompet
emping
handuk
kamera
karpet
kebaya
kemiri
kerang
kompor
kunyit
mukena
nangka
papeda
parfum
payung
pempek
pepaya
piring
buah pisang
plik'u
rebung
sepeda
shampo
siomay
taucho
termos
wortel
 accu
 reng
 seng
asbes
bakso
bambu
baung
bayam
bedak|powder
belut
bihun
binte
bubur
donat
ember 
empal 
gabus 
garam 
gudeg 
jamur 
jeruk 
kapas 
kasur 
kecap 
kulot 
kursi 
kusen 
 lawar 
lilin 
lobak 
lulur
melon
 mesis
mixer
nanas
oncom
pakis
panci
papan
pecel
pepes
petai
pizza
raket
rawon
salak
semen
sirih
sirop|sirup|syrup
spion
sprey
 tempe 
tikar
vodka
wafer
 bir 
 pir 
 tas 
 teh 
apel 
beras 
blus wanita|blus perempuan
 bola 
 busi 
 gaun 
 helm 
 jahe 
 jamu 
 kaso 
keju 
 madu 
 oven 
 paku 
 pare 
 rujak 
 sagu 
 sate 
 soun 
 velg 
